HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShotOnTarget,AwayShotOnTarget
West Ham,Middlesbrough,4,0,,
Liverpool,Wimbledon,3,0,,
Arsenal,Aston Villa,1,0,,
Southampton,Everton,2,0,,
Chelsea,Derby,2,1,,
Man United,Tottenham,2,1,,
Charlton,Sheffield Weds,0,1,,
Coventry,Leeds,2,2,,
Nott'm Forest,Leicester,1,0,,
Newcastle,Blackburn,1,1,,
Blackburn,Man United,0,0,,
Leeds,Arsenal,1,0,,
Tottenham,Chelsea,2,2,,
Middlesbrough,Man United,0,1,,
Everton,West Ham,6,0,,
Aston Villa,Charlton,3,4,,
Derby,Coventry,0,0,,
Sheffield Weds,Liverpool,1,0,,
Leicester,Newcastle,2,0,,
Wimbledon,Southampton,0,2,,
Blackburn,Nott'm Forest,1,2,,
Chelsea,Leeds,1,0,,
Leicester,Derby,1,2,,
Tottenham,Arsenal,1,3,,
Liverpool,Man United,2,2,,
Arsenal,Derby,1,0,,
Nott'm Forest,Sheffield Weds,2,0,,
Southampton,Leicester,2,1,,
Liverpool,Tottenham,3,2,,
Man United,Aston Villa,2,1,,
Coventry,Wimbledon,2,1,,
Newcastle,Middlesbrough,1,1,,
Charlton,Blackburn,0,0,,
Chelsea,Everton,3,1,,
West Ham,Leeds,1,5,,
Leeds,Man United,1,1,,
Sheffield Weds,Chelsea,0,0,,
Aston Villa,Nott'm Forest,2,0,,
Wimbledon,Newcastle,1,1,,
Leicester,Coventry,1,0,,
Tottenham,West Ham,1,2,,
Everton,Charlton,4,1,,
Middlesbrough,Arsenal,1,6,,
Blackburn,Liverpool,1,3,,
Derby,Southampton,0,0,,
Liverpool,Leicester,0,1,,
Sheffield Weds,Newcastle,1,1,,
Charlton,Tottenham,1,4,,
Arsenal,Wimbledon,5,1,,
Chelsea,Leicester,2,2,,
West Ham,Derby,5,1,,
Charlton,Leeds,1,1,,
Man United,Sheffield Weds,3,0,,
Nott'm Forest,Tottenham,0,1,,
Coventry,Middlesbrough,1,2,,
Southampton,Blackburn,3,3,,
Liverpool,Aston Villa,0,1,,
Newcastle,Everton,1,3,,
Middlesbrough,Chelsea,0,0,,
Leeds,Liverpool,0,0,,
Everton,Coventry,2,0,,
Wimbledon,Chelsea,1,2,,
Leicester,West Ham,0,0,,
Middlesbrough,Charlton,2,0,,
Aston Villa,Southampton,3,0,,
Derby,Nott'm Forest,1,0,,
Arsenal,Blackburn,1,0,,
Leicester,Aston Villa,2,2,,
Everton,Sheffield Weds,1,2,,
West Ham,Charlton,0,1,,
Newcastle,Tottenham,1,1,,
Nott'm Forest,Liverpool,2,2,,
Middlesbrough,Wimbledon,3,1,,
Coventry,Southampton,1,0,,
Wimbledon,Man United,1,1,,
Leeds,Nott'm Forest,3,1,,
Blackburn,Middlesbrough,0,0,,
Southampton,Arsenal,0,0,,
Sheffield Weds,Coventry,1,2,,
Charlton,Chelsea,0,1,,
Liverpool,Everton,3,2,,
Tottenham,Leicester,0,2,,
Derby,Newcastle,3,4,,
Aston Villa,West Ham,0,0,,
Aston Villa,Chelsea,0,3,,
Man United,Everton,3,1,,
West Ham,Newcastle,2,0,,
Southampton,Sheffield Weds,1,0,,
