Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
7/05/2006,2005/06,Fulham,Middlesbrough,1,0,H,0.0,0.0,D,M Halsey,8.0,6.0,3.0,3.0,8.0,12.0,8.0,4.0,0.0,1.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,West Ham,Tottenham,2,1,H,1.0,1.0,D,C Foy,12.0,14.0,7.0,6.0,17.0,7.0,11.0,4.0,1.0,0.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,Everton,West Brom,2,2,D,0.0,1.0,A,A Wiley,22.0,6.0,18.0,5.0,16.0,18.0,14.0,2.0,1.0,2.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,Man United,Charlton,4,0,H,3.0,0.0,H,M Atkinson,20.0,8.0,11.0,3.0,9.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,Newcastle,Chelsea,1,0,H,0.0,0.0,D,M Riley,16.0,10.0,8.0,5.0,17.0,14.0,3.0,7.0,4.0,2.0,1.0,0.0,20060507,Premier League
7/05/2006,2005/06,Blackburn,Man City,2,0,H,1.0,0.0,H,H Webb,6.0,11.0,2.0,4.0,20.0,9.0,4.0,4.0,2.0,4.0,1.0,0.0,20060507,Premier League
7/05/2006,2005/06,Aston Villa,Sunderland,2,1,H,1.0,0.0,H,M Dean,16.0,14.0,9.0,7.0,11.0,10.0,7.0,7.0,4.0,2.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,Arsenal,Wigan,4,2,H,2.0,2.0,D,U Rennie,13.0,8.0,7.0,3.0,12.0,16.0,5.0,1.0,1.0,1.0,0.0,1.0,20060507,Premier League
7/05/2006,2005/06,Bolton,Birmingham,1,0,H,0.0,0.0,D,S Bennett,16.0,5.0,6.0,2.0,7.0,14.0,5.0,2.0,0.0,1.0,0.0,0.0,20060507,Premier League
7/05/2006,2005/06,Portsmouth,Liverpool,1,3,A,0.0,0.0,D,G Poll,6.0,8.0,4.0,4.0,5.0,11.0,5.0,6.0,1.0,0.0,0.0,0.0,20060507,Premier League
4/05/2006,2005/06,Sunderland,Fulham,2,1,H,1.0,0.0,H,M Riley,3.0,10.0,3.0,2.0,18.0,6.0,10.0,3.0,4.0,4.0,0.0,0.0,20060504,Premier League
4/05/2006,2005/06,Man City,Arsenal,1,3,A,1.0,1.0,D,G Poll,10.0,17.0,8.0,12.0,21.0,8.0,12.0,6.0,3.0,0.0,0.0,0.0,20060504,Premier League
3/05/2006,2005/06,Bolton,Middlesbrough,1,1,D,0.0,0.0,D,H Webb,17.0,5.0,9.0,3.0,9.0,10.0,6.0,1.0,1.0,1.0,0.0,0.0,20060503,Premier League
2/05/2006,2005/06,Blackburn,Chelsea,1,0,H,1.0,0.0,H,S Bennett,6.0,7.0,1.0,2.0,18.0,6.0,5.0,8.0,2.0,2.0,0.0,0.0,20060502,Premier League
1/05/2006,2005/06,Sunderland,Arsenal,0,3,A,0.0,3.0,A,D Gallagher,7.0,7.0,2.0,4.0,17.0,8.0,5.0,3.0,3.0,0.0,0.0,0.0,20060501,Premier League
1/05/2006,2005/06,West Brom,West Ham,0,1,A,0.0,1.0,A,G Poll,16.0,10.0,4.0,5.0,8.0,15.0,9.0,6.0,0.0,0.0,0.0,0.0,20060501,Premier League
1/05/2006,2005/06,Man United,Middlesbrough,0,0,D,0.0,0.0,D,C Foy,17.0,10.0,6.0,6.0,11.0,10.0,10.0,2.0,2.0,2.0,0.0,0.0,20060501,Premier League
30/04/2006,2005/06,Tottenham,Bolton,1,0,H,0.0,0.0,D,A Wiley,9.0,14.0,4.0,6.0,11.0,12.0,6.0,8.0,1.0,5.0,0.0,0.0,20060430,Premier League
29/04/2006,2005/06,Man City,Fulham,1,2,A,0.0,0.0,D,P Walton,19.0,12.0,10.0,7.0,11.0,11.0,9.0,6.0,1.0,2.0,0.0,0.0,20060429,Premier League
29/04/2006,2005/06,Chelsea,Man United,3,0,H,1.0,0.0,H,M Dean,11.0,7.0,5.0,2.0,17.0,12.0,2.0,3.0,4.0,2.0,0.0,0.0,20060429,Premier League
29/04/2006,2005/06,Birmingham,Newcastle,0,0,D,0.0,0.0,D,M Atkinson,15.0,4.0,5.0,0.0,9.0,10.0,6.0,3.0,2.0,2.0,0.0,0.0,20060429,Premier League
29/04/2006,2005/06,Wigan,Portsmouth,1,2,A,1.0,0.0,H,M Riley,13.0,16.0,7.0,8.0,11.0,8.0,3.0,9.0,3.0,1.0,1.0,0.0,20060429,Premier League
29/04/2006,2005/06,Liverpool,Aston Villa,3,1,H,1.0,0.0,H,M Halsey,15.0,7.0,9.0,3.0,7.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,20060429,Premier League
29/04/2006,2005/06,Middlesbrough,Everton,0,1,A,0.0,0.0,D,L Mason,11.0,8.0,3.0,4.0,13.0,17.0,4.0,6.0,2.0,2.0,0.0,0.0,20060429,Premier League
29/04/2006,2005/06,Charlton,Blackburn,0,2,A,0.0,1.0,A,R Styles,7.0,10.0,3.0,4.0,10.0,6.0,4.0,4.0,3.0,4.0,0.0,0.0,20060429,Premier League
26/04/2006,2005/06,West Ham,Liverpool,1,2,A,0.0,1.0,A,H Webb,11.0,13.0,7.0,7.0,11.0,7.0,6.0,3.0,0.0,0.0,1.0,1.0,20060426,Premier League
25/04/2006,2005/06,Aston Villa,Man City,0,1,A,0.0,0.0,D,C Foy,10.0,15.0,5.0,6.0,12.0,9.0,4.0,9.0,1.0,1.0,0.0,0.0,20060425,Premier League
24/04/2006,2005/06,Fulham,Wigan,1,0,H,1.0,0.0,H,R Styles,12.0,21.0,6.0,10.0,11.0,9.0,4.0,8.0,4.0,2.0,0.0,0.0,20060424,Premier League
22/04/2006,2005/06,Bolton,Charlton,4,1,H,3.0,0.0,H,U Rennie,13.0,5.0,11.0,3.0,14.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,20060422,Premier League
22/04/2006,2005/06,Portsmouth,Sunderland,2,1,H,0.0,0.0,D,M Dean,23.0,7.0,15.0,6.0,9.0,15.0,8.0,5.0,2.0,3.0,0.0,0.0,20060422,Premier League
22/04/2006,2005/06,Arsenal,Tottenham,1,1,D,0.0,0.0,D,S Bennett,9.0,9.0,6.0,6.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,1.0,20060422,Premier League
22/04/2006,2005/06,Newcastle,West Brom,3,0,H,2.0,0.0,H,H Webb,14.0,5.0,9.0,1.0,16.0,11.0,4.0,2.0,0.0,1.0,0.0,0.0,20060422,Premier League
