rank,Team,Pts,GF,GA,GD
1,Man City,93,99,26,73
2,Liverpool,92,94,26,68
3,Chelsea,74,76,33,43
4,Tottenham,71,69,40,29
5,Arsenal,69,61,48,13
6,Man United,58,57,57,0
7,West Ham,56,60,51,9
8,Leicester,52,62,59,3
9,Brighton,51,42,44,-2
10,Wolves,51,38,43,-5
11,Newcastle,49,44,62,-18
12,Crystal Palace,48,50,46,4
13,Brentford,46,48,56,-8
14,Aston Villa,45,52,54,-2
15,Southampton,40,43,67,-24
16,Everton,39,43,66,-23
17,Leeds,38,42,79,-37
18,Burnley,35,34,53,-19
19,Watford,23,34,77,-43
20,Norwich,22,23,84,-61
