home_team,away_team,P_home_win,P_draw,P_away_win
Arsenal,Aston Villa,0.488,0.2516,0.2604
Arsenal,Brentford,0.5587,0.2362,0.2051
Arsenal,Brighton,0.4783,0.2793,0.2424
Arsenal,Burnley,0.6263,0.2446,0.1292
Arsenal,Chelsea,0.2874,0.2459,0.4667
Arsenal,Crystal Palace,0.4564,0.2666,0.277
Arsenal,Everton,0.6437,0.2097,0.1466
Arsenal,Leeds,0.6763,0.1941,0.1296
Arsenal,Leicester,0.4732,0.2377,0.2892
Arsenal,Liverpool,0.1721,0.2021,0.6258
Arsenal,Man City,0.1344,0.1871,0.6784
Arsenal,Man United,0.4873,0.2427,0.2699
Arsenal,Newcastle,0.5784,0.2403,0.1813
Arsenal,Norwich,0.8071,0.1478,0.0451
Arsenal,Southampton,0.6243,0.213,0.1627
Arsenal,Tottenham,0.3127,0.2557,0.4317
Arsenal,Watford,0.7242,0.1768,0.099
Arsenal,West Ham,0.4318,0.2501,0.3182
Arsenal,Wolves,0.5183,0.2839,0.1978
Aston Villa,Arsenal,0.3139,0.2586,0.4275
Aston Villa,Brentford,0.4702,0.2466,0.2832
Aston Villa,Brighton,0.3852,0.281,0.3338
Aston Villa,Burnley,0.528,0.2654,0.2066
Aston Villa,Chelsea,0.2198,0.2265,0.5536
Aston Villa,Crystal Palace,0.3687,0.2654,0.3659
Aston Villa,Everton,0.5562,0.2286,0.2152
Aston Villa,Leeds,0.5915,0.2153,0.1932
Aston Villa,Leicester,0.3918,0.2383,0.3699
Aston Villa,Liverpool,0.1239,0.1748,0.7012
Aston Villa,Man City,0.0929,0.1573,0.7497
Aston Villa,Man United,0.4033,0.245,0.3517
Aston Villa,Newcastle,0.4867,0.2536,0.2597
Aston Villa,Norwich,0.7258,0.1821,0.092
Aston Villa,Southampton,0.5376,0.2297,0.2327
Aston Villa,Tottenham,0.2407,0.2383,0.521
Aston Villa,Watford,0.6412,0.2023,0.1565
Aston Villa,West Ham,0.3505,0.2462,0.4033
Aston Villa,Wolves,0.42,0.2913,0.2887
Brentford,Arsenal,0.2538,0.2481,0.4981
Brentford,Aston Villa,0.3367,0.2517,0.4116
Brentford,Brighton,0.3161,0.2773,0.4065
Brentford,Burnley,0.4526,0.2762,0.2712
Brentford,Chelsea,0.1716,0.2089,0.6195
Brentford,Crystal Palace,0.3037,0.2601,0.4362
Brentford,Everton,0.4883,0.2392,0.2725
Brentford,Leeds,0.5252,0.228,0.2469
Brentford,Leicester,0.3309,0.235,0.4341
Brentford,Liverpool,0.0908,0.1527,0.7565
Brentford,Man City,0.0649,0.1338,0.8012
Brentford,Man United,0.3404,0.2427,0.417
Brentford,Newcastle,0.4169,0.2592,0.3239
Brentford,Norwich,0.6599,0.2056,0.1344
Brentford,Southampton,0.4706,0.2385,0.2909
Brentford,Tottenham,0.1891,0.2218,0.5891
Brentford,Watford,0.5755,0.2186,0.206
Brentford,West Ham,0.2904,0.2393,0.4703
Brentford,Wolves,0.3465,0.2915,0.362
Brighton,Arsenal,0.2999,0.2875,0.4126
Brighton,Aston Villa,0.3953,0.2806,0.3241
Brighton,Brentford,0.4701,0.2706,0.2594
Brighton,Burnley,0.5314,0.2972,0.1713
Brighton,Chelsea,0.2021,0.2474,0.5505
Brighton,Crystal Palace,0.3586,0.2962,0.3453
Brighton,Everton,0.5634,0.2477,0.189
Brighton,Leeds,0.6014,0.2309,0.1677
Brighton,Leicester,0.3865,0.2598,0.3538
Brighton,Liverpool,0.1054,0.185,0.7096
Brighton,Man City,0.074,0.1643,0.7616
Brighton,Man United,0.3982,0.2684,0.3333
Brighton,Newcastle,0.4874,0.2802,0.2324
Brighton,Norwich,0.7469,0.1904,0.0627
Brighton,Southampton,0.5433,0.2489,0.2079
Brighton,Tottenham,0.2231,0.2621,0.5148
Brighton,Watford,0.655,0.2149,0.1301
Brighton,West Ham,0.3413,0.2704,0.3883
Brighton,Wolves,0.4111,0.3326,0.2563
Burnley,Arsenal,0.1752,0.2649,0.5599
Burnley,Aston Villa,0.2601,0.2774,0.4625
Burnley,Brentford,0.3294,0.2817,0.3889
Burnley,Brighton,0.2278,0.313,0.4591
Burnley,Chelsea,0.1052,0.207,0.6878
Burnley,Crystal Palace,0.2223,0.2862,0.4914
Burnley,Everton,0.4215,0.2748,0.3037
Burnley,Leeds,0.4634,0.2624,0.2742
Burnley,Leicester,0.2608,0.2537,0.4855
Burnley,Liverpool,0.0425,0.1344,0.8231
Burnley,Man City,0.0225,0.1106,0.8668
Burnley,Man United,0.2676,0.265,0.4674
Burnley,Newcastle,0.3401,0.2967,0.3632
Burnley,Norwich,0.6098,0.2477,0.1424
Burnley,Southampton,0.4034,0.2718,0.3248
Burnley,Tottenham,0.1183,0.2246,0.6571
Burnley,Watford,0.5184,0.2546,0.227
Burnley,West Ham,0.2171,0.2562,0.5268
Burnley,Wolves,0.2532,0.3386,0.4082
Chelsea,Arsenal,0.5257,0.2369,0.2374
