rank,Team,Pts,GF,GA,GD
0,Chelsea,77.84,73.8,34.42,39.38
1,Man City,77.55,82.55,41.56,40.99
2,Arsenal,73.9,69.16,36.51,32.65
3,Man United,66.62,60.18,39.35,20.83
4,Southampton,65.92,51.1,32.25,18.85
5,Liverpool,58.15,53.03,44.87,8.17
6,Tottenham,56.45,58.38,52.81,5.57
7,Swansea,54.1,47.42,45.09,2.33
8,Stoke,52.61,46.8,46.67,0.14
9,West Ham,51.43,43.63,44.99,-1.36
10,Everton,50.38,46.74,50.0,-3.26
11,Crystal Palace,48.16,48.18,55.15,-6.97
12,Leicester,47.52,45.14,52.74,-7.59
13,West Brom,41.99,37.41,52.54,-15.13
14,Hull,39.97,33.49,50.93,-17.44
15,Newcastle,37.79,38.98,61.92,-22.93
16,Sunderland,37.78,33.39,54.54,-21.15
17,Aston Villa,37.44,33.32,55.05,-21.73
18,QPR,35.84,41.79,69.36,-27.57
19,Burnley,35.73,30.5,54.26,-23.76
